countyIndex_from countyIndex_to distance_b0 distance_b1 time_b0 time_b1
14 11 19.59 0.96 23.31 0.6
14 12 5.5 1.4 8.15 1.34
14 13 7.01 1.16 17.19 0.78
14 14 0.49 1.37 10.29 1.1
14 15 15.06 1.1 34.95 0.58
14 16 24.03 1.03 12.57 0.9
14 17 299.08 0.25 188.68 0.2
14 18 344.5 0.01 303.12 0.29
14 19 180.85 0.67 166.48 0.68
14 20 257.71 -0.15 398.11 0.12
15 1 396.56 -0.07 247.29 -0.02
15 2 360.41 -0.03 213.21 0.06
15 3 146.76 0.74 52.16 0.65
15 4 308.16 0.05 230.88 -0.07
15 5 343.34 -0.21 316.93 -0.47
15 6 263.39 0.05 159.01 0.08
15 7 105.42 0.68 91.76 0.37
15 8 84.41 0.72 5.54 0.82
15 9 87.68 0.57 61.89 0.4
15 10 50.64 1.1 41.69 0.77
15 11 101.57 0.28 78.22 0.16
15 12 57.03 0.8 22.15 0.95
15 13 75.03 0.42 58.54 0.29
15 14 13.67 1.12 35.1 0.59
15 15 2.82 1.29 11.79 1.26
15 16 7.75 1.2 15.68 1.13
15 17 484.87 -0.28 328.24 -0.21
15 18 164.99 0.93 234.16 0.64
15 19 126.73 0.8 126.92 0.99
15 20 104.72 0.69 159.31 1.72
16 1 45.5 1.17 -101.27 1.17
16 2 51.91 1.13 -99.52 1.18
16 3 40.22 1.19 -87.78 1.16
16 4 82.35 1.01 -35.32 0.99
16 5 105.14 0.92 28.2 0.83
16 6 45.04 1.05 -69.59 1.06
16 7 47.58 1.05 -22.25 0.96
16 8 42.85 1.05 -35.35 1.06
16 9 40.06 1.02 -17.33 0.99
16 10 47.52 1.18 -2.32 1.09
16 11 38.9 0.99 -10.37 0.99
16 12 49.62 1.01 17.17 1.01
16 13 33.78 0.99 -5.21 0.99
16 14 24.95 1.03 10.14 0.96
16 15 7.6 1.19 16.22 1.09
16 16 4.24 1.16 12.83 1.19
16 17 213.9 0.85 49.25 0.89
16 18 176.69 0.53 191.04 0.61
16 19 140.96 0.25 151.81 0.36
16 20 60.55 1.02 224.66 1.14
17 1 34.01 0.81 41.36 0.53
17 2 26.81 0.93 38.67 0.62
17 3 33.25 0.98 45.23 0.73
17 4 61.77 0.69 95.09 -0.01
17 5 152.71 -0.21 273.82 -1.91
17 6 92.67 0.53 57.94 0.59
17 7 113.04 0.58 125.62 0.11
17 8 148.78 0.48 205.09 -0.31
17 9 214.87 0.22 149.43 0.17
17 10 224.7 0.45 253.91 -0.3
17 11 278.77 0.04 172.25 0.14
17 12 499.19 -0.86 470.52 -1.17
17 13 375.29 -0.34 226.5 -0.05
17 14 286.76 0.29 170.17 0.28
17 15 466.79 -0.22 276.97 -0.02
17 16 197.96 0.9 43.14 0.91
17 17 0.26 1.33 5.99 1.55
17 18 44.3 1.01 82.4 0.97
17 19 -123.01 1.81 56.71 1.23
17 20 829.76 -0.92 1032.79 -1.52
18 1 49.54 1.05 41.69 1.26
18 2 53.77 1.07 51.18 1.3
18 3 78.5 0.96 76.22 1.16
18 4 113.94 1 116.13 1.12
18 5 180.73 0.83 211.02 0.7
18 6 106.26 1.39 67.81 1.69
18 7 184.3 1.17 163.66 1.25
18 8 29.68 2.73 188.57 1.23
18 9 276.45 0.06 417.28 -0.9
18 10 56.61 2.07 139.24 2.2
18 11 603.44 -2.62 470.2 -1.21
18 12 511.35 -1.63 485.58 -1.12
18 13 651.64 -2.84 432.25 -0.79
18 14 355.91 -0.09 282.23 0.41
18 15 175.16 0.87 186.89 0.86
18 16 179.94 0.5 194.09 0.55
18 17 43.86 1.01 77.88 1.12
18 18 4.87 1.21 13.69 1.39
18 19 5.66 1.16 4.77 1.33
18 20 204.92 1.41 498.82 0.9
19 1 -266.11 2.34 307.18 0.19
19 2 -200.69 2.18 348.99 0.04
19 3 -42.03 1.59 323.16 0.18
19 4 -19.29 1.92 539.56 -0.75
19 5 331.97 0.52 745.63 -1.79
19 6 377.62 0.26 699.49 -1.63
19 7 494.79 -0.39 540.6 -1.07
19 8 501.65 -0.79 535.41 -1.43
19 9 449.43 -0.74 476.48 -1.35
19 10 451.42 -0.74 448.21 -1.1
19 11 476.02 -1.43 507.48 -2.09
19 12 415.01 -1.16 460.75 -1.91
19 13 462.07 -1.78 516.4 -2.64
19 14 177.03 0.72 168.58 0.64
19 15 125.64 0.81 95.63 1.28
19 16 139.43 0.26 157.94 0.32
19 17 -192.56 2.14 116.96 0.92
19 18 5.23 1.16 6.6 1.32
19 19 8.86 1.17 16.48 1.27
19 20 309.95 0.27 554.1 -0.03
20 1 904.3 -1.23 1363.01 -2.68
20 2 857.18 -1.26 1239.76 -2.49
20 3 402.71 0.51 621.87 -0.09
20 4 658.83 -0.7 965.45 -1.73
20 5 542.51 -0.36 790.8 -1.13
20 6 691.02 -1.21 993.58 -2.34
20 7 375.79 0.27 605.52 -0.51
20 8 336.43 0.34 487.83 0.05
20 9 398.8 -0.52 645.14 -1.63
20 10 251.06 0.95 446.47 0.4
20 11 359.14 -0.54 604.51 -1.68
20 12 241.64 0.65 378.18 0.8
20 13 423.28 -1.46 744.31 -3.38
20 14 260.94 -0.19 415.43 -0.07
20 15 105.93 0.68 184.71 1.5
20 16 67.52 0.99 224.02 1.12
20 17 851.45 -0.99 1096.49 -1.74
20 18 184.62 1.51 623.23 0.36
20 19 309.37 0.27 561.98 -0.02
20 20 4.78 1.36 -3.68 3.42
21 21 0.59 1.15 3.28 1.72
22 22 1 1.06 1.3 2.71
